# example/nonlinear.csv: the non-linear counterpart of linearr's train.csv.
#
# SYNTHETIC and deliberately NOT linear. Generated by example/mknonlinear.c, whose
# header states the generating function in full. Two of its terms are invisible to a
# straight line: a dose response that saturates, and an interaction that appears only
# in patients over 60.
#
# The noise is N(0,1) by construction, so an RMSE of 1.0 on held-out rows is the best
# any model can do and both fitters can be scored against that floor. Nothing here is
# medical: the numbers are invented and fitted to nothing.
group,los,dose,age
001,17.1647,3.0666,82.04
001,18.6303,7.2202,43.23
001,21.0277,9.0041,81.28
001,14.9957,5.6987,27.18
001,14.6651,6.0199,27.35
001,20.8623,9.9804,76.45
001,16.9719,9.2782,37.74
001,16.2313,3.8325,81.17
001,19.5879,9.0432,69.33
001,16.9814,6.5683,45.93
001,16.1572,7.2262,33.62
001,18.0914,8.7226,53.51
001,14.4473,4.0338,28.93
001,4.9945,0.1452,79.62
001,23.5826,8.5801,88.54
001,15.7577,4.9922,47.60
001,17.7791,5.6457,56.72
001,17.5632,9.6216,33.98
001,19.9699,8.3809,83.79
001,14.7270,3.4851,57.76
001,16.5294,6.5432,52.11
001,8.8909,1.7700,20.47
001,21.7686,9.4564,87.20
001,18.4897,8.5772,69.55
001,18.8462,6.0209,66.71
001,15.7351,3.6984,73.14
001,15.9882,4.5984,57.29
001,6.0321,0.4331,32.44
001,18.1273,4.6970,72.87
001,13.7730,2.4826,65.18
001,21.0530,7.9297,88.53
001,17.0980,8.0189,59.74
001,16.8977,3.5056,66.76
001,8.9846,1.4898,54.67
001,14.2634,2.4836,75.31
001,15.0865,5.9104,27.09
001,15.1306,5.2515,44.22
001,18.1681,6.0743,47.79
001,14.2843,4.0704,52.17
001,16.5967,5.1288,28.99
001,17.2562,3.8125,76.04
001,15.6037,4.6790,71.11
001,18.7701,7.5395,52.16
001,16.1525,8.3835,46.70
001,9.0790,0.3507,71.60
001,15.6583,2.1655,81.75
001,16.9957,9.5420,43.32
001,16.5638,7.9074,28.79
001,14.6013,6.0647,53.98
001,14.6703,5.1103,43.16
001,21.1021,8.2253,85.29
001,6.4824,0.3929,58.14
001,20.3982,6.8983,87.11
001,18.3329,7.2743,77.18
001,17.0121,7.3211,38.28
001,13.6988,2.4594,39.44
001,7.5326,0.7960,27.21
001,16.9613,8.3145,46.42
001,18.5233,5.5732,85.98
001,18.2553,6.5017,73.78
001,17.7647,8.6989,57.50
001,17.9144,9.2972,44.70
001,17.2588,8.8208,59.67
001,17.2585,7.7892,43.58
001,16.1761,4.9447,40.38
001,10.9806,1.4285,62.49
001,9.2113,1.7675,54.61
001,19.1142,9.0754,37.00
001,18.4792,8.8857,57.41
001,10.0707,1.7185,26.20
001,17.8685,5.0235,54.68
001,15.1765,8.3324,23.83
001,10.0403,1.5379,28.93
001,10.6564,2.3394,22.49
001,12.7672,2.6181,36.31
001,21.8619,9.1285,76.20
001,12.8933,2.0361,84.93
001,19.1813,6.6493,63.68
001,17.7179,7.9826,20.50
001,8.5838,1.8342,25.23
001,14.4504,6.2144,25.41
001,21.2825,6.8602,89.80
001,19.0583,4.9557,65.55
001,19.8095,6.0456,70.56
001,15.0055,7.1322,35.18
001,20.8063,9.0351,78.09
001,18.4845,6.6233,52.97
001,12.3446,2.3020,77.23
001,17.4587,5.1633,76.01
001,18.7361,7.9614,60.31
001,19.4099,5.0847,73.34
001,4.7752,0.5312,21.21
001,8.9887,1.1866,47.50
001,8.1995,0.5413,70.88
001,19.7876,8.5292,83.52
001,14.8317,4.4512,45.53
001,15.9823,3.4286,65.12
001,7.5493,0.9977,44.52
001,14.4843,4.6683,53.41
001,16.1986,6.0119,31.36
001,15.5177,4.5755,72.14
001,8.3364,0.5738,82.07
001,10.6880,1.8251,37.33
001,15.8388,6.9172,44.93
001,14.5661,5.0676,24.34
001,19.4608,6.4679,82.20
001,16.4545,7.9258,36.87
001,13.1940,3.6024,22.02
001,22.7588,9.2438,87.38
001,16.4160,4.8340,65.49
001,16.3184,6.3494,57.85
001,20.3526,9.7270,78.46
001,18.0807,7.2783,48.22
001,6.0074,0.2847,57.57
001,16.1998,6.5093,33.58
001,18.7779,7.0114,73.09
001,19.0302,4.8776,61.28
002,13.1659,1.2177,59.84
002,24.0622,8.4046,81.30
002,22.4049,6.8854,81.53
002,10.5700,0.4862,42.21
002,10.0405,1.1871,28.13
002,18.1840,9.1975,22.02
002,20.2582,9.1850,51.08
002,13.0586,1.2537,53.55
002,22.5954,5.1043,85.11
002,24.6147,9.4755,70.35
002,16.1169,3.8686,21.76
002,23.5303,8.6520,78.95
002,18.0886,6.4800,24.11
002,20.4087,8.7908,57.94
002,17.4291,4.5397,28.92
002,22.7667,7.9742,83.19
002,18.7908,4.6732,50.07
002,8.9426,0.6572,21.16
002,11.6547,0.5267,55.12
002,14.9173,2.6492,44.97
002,16.3971,3.7828,40.43
002,19.5197,7.4456,54.25
002,20.0047,5.9210,25.29
002,20.3414,5.8259,49.69
002,24.3156,6.2637,87.41
002,18.5876,3.7942,82.57
002,18.5878,9.2491,26.53
002,7.4702,0.0969,49.24
002,18.4121,6.3527,67.94
002,23.3213,8.3419,20.61
002,16.6440,6.5493,51.72
002,20.1317,9.8980,22.37
002,23.5283,5.2958,86.77
002,22.0316,7.7031,80.29
002,15.1110,1.9665,70.84
002,25.1494,6.4325,88.53
002,16.8387,3.2138,27.72
002,16.0941,2.7212,22.98
002,16.8030,3.4239,41.62
002,19.2339,3.0872,88.60
002,6.2612,0.0209,52.60
002,19.3038,5.9144,58.89
002,20.8154,4.3772,83.66
002,18.6717,3.8493,24.58
002,24.4668,7.8560,87.55
002,20.2459,6.8830,55.49
002,20.7438,9.0327,67.83
002,20.8294,5.6608,88.02
002,9.5489,0.6782,36.23
002,20.8570,4.0900,84.20
002,16.3790,3.2916,20.90
002,17.8354,5.9075,39.40
002,19.7401,6.4622,34.19
002,18.3577,4.8739,69.06
002,17.3983,4.1082,27.07
002,19.4671,3.2060,82.53
002,17.7142,4.0177,42.51
002,17.6345,3.9295,68.24
002,15.4610,1.8330,39.63
002,18.5221,6.7807,37.15
002,21.2265,5.5869,79.55
002,21.4352,7.4659,59.24
002,21.5135,8.2485,68.51
002,20.6071,8.4632,47.31
002,20.8042,6.4984,83.22
002,19.0401,6.3353,33.05
002,19.0212,6.4896,29.15
002,15.0878,2.2739,72.85
002,21.8880,8.4820,55.74
002,24.0966,5.7621,85.28
002,18.1051,3.2726,66.75
002,19.9225,6.5414,53.25
002,18.9189,5.1749,61.31
002,23.7480,7.1083,74.76
002,17.7625,3.1283,77.73
002,13.8286,2.6171,28.30
002,19.4793,6.7978,22.29
002,19.6735,8.3497,20.70
002,23.4889,9.8178,77.88
002,15.3401,3.2739,23.04
002,18.6439,6.8168,68.86
002,16.7283,5.1970,30.77
002,17.7559,4.7401,54.35
002,19.3873,7.7685,51.27
002,19.6619,5.7638,65.34
002,20.0083,9.2134,44.18
002,17.7410,4.1207,44.60
002,19.8773,9.0605,25.97
002,22.2206,9.1433,82.31
002,16.0486,2.2101,75.11
002,20.3960,9.5425,33.44
002,21.4071,8.1712,38.11
002,17.2408,3.6914,66.54
002,8.7711,0.6014,24.36
002,22.0098,7.6646,70.06
002,18.1622,3.5272,84.48
002,16.0561,1.7549,78.91
002,12.5555,0.6271,89.84
002,23.7760,9.4992,83.33
002,17.3806,3.7468,51.57
002,13.2983,2.2864,20.93
002,15.9585,2.1691,69.36
002,18.9547,7.3655,27.35
002,17.8850,4.2150,24.89
002,22.7892,6.6758,86.81
002,18.9466,4.7897,53.44
002,19.4335,7.5619,30.21
002,21.7049,5.1985,86.69
002,11.3975,0.8817,59.79
002,20.1970,4.6277,85.97
002,21.6720,6.6410,58.70
002,8.4876,0.2467,68.76
002,19.2563,7.0914,49.30
002,22.2415,4.8669,84.56
002,13.7539,2.2579,57.49
002,20.0384,5.2981,55.96
002,19.8945,2.6207,84.01
002,14.7593,1.6909,65.13
002,17.6866,2.1786,87.61
002,21.3248,8.6033,67.79
002,20.2938,5.4099,66.88
002,16.6522,3.1071,65.14
002,21.8673,5.6904,73.23
002,12.0158,0.8975,87.62
002,23.6274,6.5619,76.70
002,15.1957,2.3659,34.01
002,18.8225,8.8423,34.66
002,19.4516,5.6448,79.13
002,20.1962,7.0604,39.41
002,18.3620,4.8870,46.96
002,19.2612,4.2574,27.88
002,19.5022,3.5753,56.70
002,19.5393,5.7014,65.40
002,23.0144,7.1520,64.39
002,22.4374,6.6946,75.22
002,19.1807,8.9914,29.53
002,9.2436,0.4129,57.62
002,8.7367,0.8345,41.45
002,17.3030,5.4725,20.56
002,24.6252,5.9400,88.86
002,20.2092,7.8691,59.84
002,9.0768,0.2137,36.95
002,16.2560,2.3207,61.01
002,20.6063,8.7430,25.83
002,20.8287,8.6465,66.12
002,18.8743,8.8261,40.72
002,24.6614,9.8529,87.42
002,21.2498,7.5481,53.23
002,20.1535,8.1817,36.89
002,23.1746,8.9190,80.04
002,20.7729,5.8237,43.97
002,20.8084,7.8591,35.39
002,13.4018,1.4991,43.64
002,23.2357,7.8917,69.03
002,23.4955,7.4729,80.38
002,16.4559,2.3022,78.84
002,21.4383,8.7168,58.58
002,20.4847,7.1211,48.73
002,20.7900,7.8176,57.54
002,17.6910,2.2041,87.01
002,16.7848,3.3698,52.36
002,22.4268,8.0153,44.21
002,20.1179,8.8854,48.93
002,20.9912,6.0625,65.02
002,22.7487,5.1873,85.04
002,22.3985,9.4841,74.80
002,14.4127,2.0548,34.32
002,16.3446,3.2642,46.61
002,19.9570,6.5596,63.44
002,18.2989,3.9884,30.55
002,20.9905,9.1254,23.90
002,22.8260,6.6925,75.56
002,18.8588,6.4646,21.91
002,6.2374,0.0451,45.58
002,19.5512,6.7791,56.69
002,22.4884,9.6054,52.02
002,7.3617,0.0132,20.83
002,21.4304,5.9895,38.84
002,9.4068,0.6079,61.99
002,18.9965,7.0208,42.04
002,20.8443,8.2692,57.31
002,13.7515,1.4357,63.51
002,20.0732,9.6490,53.82
002,13.9425,1.7977,76.34
002,18.4614,5.3520,32.22
002,18.4655,3.1768,73.17
002,15.5955,3.1680,38.34
002,18.1682,5.7038,37.43
002,14.2520,1.2863,64.61
002,17.1647,4.1049,37.80
002,10.7376,0.6761,65.93
002,17.2310,3.2556,59.32
002,20.3973,6.0992,48.35
002,12.1025,0.8555,64.34
002,21.0919,7.0521,62.20
002,18.0427,4.4649,24.90
002,15.8753,2.1419,78.31
002,17.5786,4.6361,22.52
002,24.1418,7.6959,88.34
002,18.6061,3.8336,67.07
002,8.2589,0.0843,28.64
002,20.3981,4.8826,55.61
002,17.6165,5.1634,40.28
002,10.1739,1.4231,48.93
002,17.0474,3.3927,30.46
002,22.3308,8.0521,65.73
002,17.0081,2.9232,51.52
002,18.7541,8.1420,54.00
002,22.2095,5.5204,71.95
002,18.9408,6.8534,27.38
002,20.9841,7.6510,40.13
002,19.5544,5.9334,28.11
002,23.5018,7.4451,82.40
002,16.3108,2.4516,69.71
002,14.1730,1.0425,68.77
002,14.5489,2.0134,72.46
002,16.2499,2.0229,89.65
002,21.2085,6.3202,73.97
002,18.5404,4.9155,24.70
002,19.2291,7.8344,45.78
002,20.9594,6.5522,35.92
002,19.8901,8.3084,47.85
002,20.7190,9.5334,25.40
002,18.8366,5.8907,27.70
002,14.9947,2.7661,48.56
002,14.3509,0.8465,84.40
002,13.1470,1.3502,64.17
002,20.3780,5.6873,85.64
002,19.2973,5.8552,26.61
002,24.5340,7.6081,80.65
002,16.0760,3.9370,22.82
002,10.8057,0.6579,34.83
002,17.2605,3.1084,58.91
002,22.0452,7.8280,65.88
002,22.2386,6.8949,72.85
002,15.9052,2.7322,33.80
002,21.6868,6.5390,85.30
002,20.0735,5.8723,52.37
002,19.6054,4.6616,60.86
002,10.3374,0.5229,79.46
002,21.4199,8.5024,69.65
002,18.0835,3.6333,45.52
002,20.5542,7.6406,27.52
002,18.3227,6.7453,35.81
002,9.4588,1.2737,25.40
002,15.7345,2.9775,28.65
002,13.3961,2.4899,20.11
002,13.3990,1.2268,62.79
002,24.7845,9.7472,87.98
002,9.1777,0.6051,51.46
002,14.3027,2.7495,21.85
002,20.0740,5.9390,61.75
002,20.8191,7.9675,57.15
002,19.7954,5.6915,43.55
002,17.6852,2.8419,57.61
002,22.7358,9.4208,59.64
002,19.1802,8.0463,29.64
002,8.7444,0.2651,52.57
002,20.1575,6.6053,52.57
002,18.1710,2.7714,85.63
002,19.2247,4.6305,78.05
002,16.2707,2.7421,49.23
002,23.0164,3.6918,84.12
002,20.6054,9.2312,31.84
002,21.8165,6.0892,70.65
002,17.2024,2.3375,85.77
002,16.8467,2.8598,28.93
002,18.3663,4.6264,24.90
002,19.6998,6.9091,60.71
002,23.1957,8.2644,68.37
002,13.1621,1.8662,29.98
002,16.9784,6.1235,42.94
002,17.1212,2.3378,67.21
002,7.3539,0.1229,41.50
002,8.8095,0.4340,78.15
002,20.4088,8.5843,57.24
002,17.8664,3.5026,50.69
002,18.0823,7.5971,26.74
002,19.6190,7.6741,46.16
002,11.8396,1.0291,59.18
002,21.5615,8.3549,82.83
002,21.0238,5.1824,55.50
002,10.7537,0.7504,84.41
002,19.0464,4.4354,49.88
002,20.3158,7.8096,78.53
002,14.9042,3.6458,34.74
002,8.4849,0.2910,75.28
002,16.2974,3.6197,45.45
002,17.1297,2.9812,61.55
002,21.8445,7.2861,74.04
002,15.7657,2.8823,29.67
002,22.3610,9.4813,85.26
002,22.1696,7.7594,68.05
002,20.5049,3.6022,78.68
002,12.5199,1.1143,84.89
002,18.0143,5.2138,37.59
002,19.9138,3.8991,78.29
002,8.8465,0.0578,59.89
002,15.3419,2.4606,35.87
002,20.2698,5.2438,66.30
002,16.6699,2.7705,29.02
002,23.3175,6.2282,84.93
002,10.2868,1.0377,37.98
002,19.4467,8.6904,46.14
002,16.8170,5.1627,50.45
002,14.7553,2.3187,44.44
002,18.1138,3.3526,67.80
002,25.6910,8.7105,89.65
002,20.4142,4.7484,80.44
002,18.5685,3.1349,62.22
002,20.0472,4.8236,71.75
002,21.3687,6.4405,64.69
002,16.7396,3.1931,49.65
002,22.3466,9.8255,71.50
002,18.3285,4.0797,52.10
002,20.1865,2.8951,87.77
002,23.4440,5.1200,77.40
002,22.0084,4.8793,75.42
002,21.3961,5.8019,65.31
002,19.2199,7.0318,20.49
002,20.1430,9.1091,22.60
002,15.6093,2.5287,37.88
002,21.0384,5.6668,41.56
002,11.0118,0.4535,72.66
002,19.3369,6.7038,46.61
002,15.5773,2.2481,42.64
002,20.3536,6.1196,87.70
002,18.7800,2.3910,72.39
002,18.1444,3.0941,41.43
002,16.9459,3.4432,60.02
002,24.7466,9.4168,81.66
002,21.1829,7.8205,46.68
002,21.8110,7.1752,64.00
002,20.5672,7.4668,57.52
002,22.4673,8.5998,78.69
002,8.5244,0.4108,22.18
002,11.8264,1.2715,43.10
002,23.2278,9.4456,72.44
002,22.2388,8.2921,76.23
002,13.6669,2.1405,28.95
002,14.5999,3.2355,27.93
002,18.2187,3.8375,42.38
002,16.7468,4.1278,28.08
002,23.0184,8.9040,81.76
002,9.4830,0.8414,73.46
002,23.1101,7.9112,84.48
002,20.8225,7.6743,34.36
002,16.9992,6.5053,23.79
002,19.9958,6.5549,54.15
002,21.6886,7.7961,73.23
002,17.0509,2.0342,80.13
002,20.1758,6.0409,45.28
002,17.2305,6.1689,48.91
002,18.6153,3.9997,47.90
002,15.0542,2.3715,63.97
002,19.3345,4.6437,49.17
002,14.5942,3.3744,40.80
002,24.6698,7.0739,89.36
002,18.5444,3.3696,70.65
002,17.4586,2.7175,56.25
002,14.2525,2.0861,54.01
002,20.6541,4.1085,69.05
002,18.4055,4.5421,55.76
002,17.0548,3.3055,34.83
002,16.6347,3.9830,44.53
002,19.1810,6.3475,28.42
002,20.3658,6.6251,42.38
002,23.1399,9.1163,71.14
002,24.1024,6.3394,84.64
002,18.7120,5.5251,30.34
002,18.5120,6.2839,30.87
002,20.4371,7.5543,42.37
002,20.2231,3.3261,75.66
002,17.1233,3.1991,65.07
002,17.2832,2.6926,76.91
002,19.3077,6.5054,39.28
002,22.4811,9.3717,72.98
002,19.7029,4.6125,71.95
002,20.6479,8.8401,70.47
002,15.6536,2.3475,64.02
002,20.8748,5.6492,56.01
002,17.5802,5.4270,22.00
002,23.8228,8.8668,70.43
002,14.2577,1.5445,57.58
002,19.2789,5.5140,27.36
002,19.8591,9.3268,53.21
002,21.9553,9.9531,81.31
002,13.7084,2.3505,32.05
002,24.0286,9.0082,87.50
002,14.2783,1.5962,72.47
002,19.7592,2.7604,88.81
002,14.1469,1.0110,74.05
002,19.0606,4.3440,71.34
002,14.1383,2.5520,24.33
002,21.5304,7.5882,73.18
002,14.7723,1.8069,56.06
002,15.8401,2.4975,39.91
002,17.9846,2.9283,79.01
002,10.6090,1.3445,43.68
002,20.9744,6.2279,59.34
